season,week,home_team,away_team,rating_diff,home_field,rest_diff,actual_margin,actual_home_win
2014,10,SEA,NYG,0.2261037174773586,1.0,1,21.0,True
2014,10,GB,CHI,0.1216734215399791,1.0,0,41.0,True
2014,10,PHI,CAR,0.0446738203952873,1.0,-3,24.0,True
2014,11,MIA,BUF,0.1387478238686977,1.0,0,13.0,True
2014,11,CAR,ATL,-0.1754796721513829,1.0,-1,-2.0,False
2014,11,CHI,MIN,0.1195465683067343,1.0,-7,8.0,True
2014,11,CLE,HOU,0.0084947260937312,1.0,-4,-16.0,False
2014,11,KC,SEA,-0.0601984542761928,1.0,0,4.0,True
2014,11,NO,CIN,0.1097925963433751,1.0,-3,-17.0,False
2014,11,NYG,SF,-0.0473085772953083,1.0,0,-6.0,False
2014,11,WAS,TB,0.2142923214257381,1.0,7,-20.0,False
2014,11,ARI,DET,0.0668977271975806,1.0,0,8.0,True
2014,11,GB,PHI,0.1535282809340357,1.0,1,33.0,True
2014,11,IND,NE,-0.038725556723737,1.0,-1,-22.0,False
2014,11,TEN,PIT,-0.1632726671358885,1.0,0,-3.0,False
2014,12,ATL,CLE,0.1316659249372626,1.0,0,-2.0,False
2014,12,CHI,TB,0.1836122996139326,1.0,0,8.0,True
2014,12,HOU,CIN,-0.0394075840809863,1.0,0,-9.0,False
2014,12,IND,JAX,0.3369150482013562,1.0,-7,20.0,True
2014,12,MIN,GB,-0.3976117346901495,1.0,0,-3.0,False
2014,12,NE,DET,0.2724362428351082,1.0,0,25.0,True
2014,12,PHI,TEN,0.1006421724160161,1.0,1,19.0,True
2014,12,SEA,ARI,0.176193801711247,1.0,0,16.0,True
2014,12,DEN,MIA,0.1094193055409684,1.0,-3,3.0,True
2014,12,SF,WAS,0.0261079712331022,1.0,0,4.0,True
2014,12,NYG,DAL,-0.1764134579332506,1.0,-7,-3.0,False
2014,12,BUF,NYJ,-0.0041997931474637,0.0,-4,35.0,True
2014,12,NO,BAL,0.0619730046458225,1.0,-7,-7.0,False
2014,13,DET,CHI,-0.115735252000193,1.0,0,17.0,True
2014,13,DAL,PHI,0.08183480515342,1.0,0,-23.0,False
2014,13,SF,SEA,-0.1446335260502635,1.0,0,-16.0,False
2014,13,BUF,CLE,-0.0017679345342428,1.0,-1,16.0,True
2014,13,HOU,TEN,0.0580512823874019,1.0,0,24.0,True
2014,13,IND,WAS,0.1200479709539076,1.0,0,22.0,True
2014,13,JAX,NYG,-0.1928539665025888,1.0,0,1.0,True
2014,13,MIN,CAR,-0.0438506408928652,1.0,-7,18.0,True
2014,13,PIT,NO,-0.0263852921282694,1.0,7,-3.0,False
2014,13,TB,CIN,-0.2480171980488867,1.0,0,-1.0,False
2014,13,ATL,ARI,0.0789582018799066,1.0,0,11.0,True
2014,13,GB,NE,0.0358743507836022,1.0,0,5.0,True
2014,13,KC,DEN,-0.0819422676254683,1.0,3,-13.0,False
2014,13,NYJ,MIA,-0.1865401306536419,1.0,-1,-3.0,False
2014,14,CHI,DAL,-0.0968972262516755,1.0,0,-13.0,False
2014,14,CIN,PIT,-0.031593614609692,1.0,0,-21.0,False
2014,14,CLE,IND,-0.1508393916580614,1.0,0,-1.0,False
2014,14,DET,TB,0.1128885383078352,1.0,3,17.0,True
2014,14,JAX,HOU,-0.2675015157909555,1.0,0,-14.0,False
2014,14,MIA,BAL,0.0255817884455012,1.0,-1,-15.0,False
2014,14,MIN,NYJ,-0.0426856971355165,1.0,1,6.0,True
2014,14,NO,CAR,0.2333248407792333,1.0,0,-31.0,False
2014,14,TEN,NYG,-0.0623731071268211,1.0,0,-29.0,False
2014,14,ARI,KC,-0.1380002843435745,1.0,0,3.0,True
2014,14,DEN,BUF,0.2454470007452894,1.0,0,7.0,True
2014,14,PHI,SEA,-0.1072884464221891,1.0,0,-10.0,False
2014,14,GB,ATL,0.1278182282908095,1.0,0,6.0,True
2014,15,ATL,PIT,0.0169013720332877,1.0,-1,-7.0,False
2014,15,BAL,JAX,0.3287882934736255,1.0,0,8.0,True
2014,15,BUF,GB,-0.3015352443635934,1.0,1,8.0,True
2014,15,CAR,TB,0.1627555437921723,1.0,0,2.0,True
2014,15,CLE,CIN,-0.1149318356974698,1.0,0,-30.0,False
2014,15,IND,HOU,0.0662284502506101,1.0,0,7.0,True
2014,15,NE,MIA,0.1148993128617702,1.0,0,28.0,True
2014,15,NYG,WAS,0.0381880256784514,1.0,0,11.0,True
2014,15,TEN,NYJ,-0.0280199880487261,1.0,0,-5.0,False
2014,15,DET,MIN,0.0386952902142265,1.0,0,2.0,True
2014,15,SEA,SF,0.1884780117954367,1.0,0,10.0,True
2014,15,PHI,DAL,-0.0974561162410836,1.0,-3,-11.0,False
2014,15,CHI,NO,-0.1163242427187864,1.0,3,-16.0,False
2014,16,JAX,TEN,-0.1652126935736923,1.0,0,8.0,True
2014,16,WAS,PHI,-0.0923456575712617,1.0,0,3.0,True
2014,16,CAR,CLE,0.0558898519251096,1.0,0,4.0,True
2014,16,CHI,DET,0.0024038101553655,1.0,-1,-6.0,False
2014,16,HOU,BAL,-0.0655105246915594,1.0,0,12.0,True
2014,16,MIA,MIN,0.1311379831318319,1.0,0,2.0,True
2014,16,NO,ATL,0.0365663354201992,1.0,-1,-16.0,False
2014,16,NYJ,NE,-0.2749690309664614,1.0,0,-1.0,False
2014,16,PIT,KC,-0.0047657418117036,1.0,0,8.0,True
2014,16,TB,GB,-0.4291070166434602,1.0,0,-17.0,False
2014,16,DAL,IND,0.0707398049797908,1.0,0,35.0,True
2014,16,ARI,SEA,-0.1629020434573457,1.0,3,-29.0,False
2014,16,CIN,DEN,-0.1489904501503439,1.0,0,9.0,True
2014,17,BAL,CLE,0.1354278879369759,1.0,0,10.0,True
2014,17,HOU,JAX,0.2421650177978995,1.0,-3,6.0,True
2014,17,MIA,NYJ,0.1559373304346361,1.0,0,-13.0,False
2014,17,MIN,CHI,-0.0133232472631417,1.0,0,4.0,True
2014,17,NE,BUF,0.2533889714468873,1.0,0,-8.0,False
2014,17,NYG,PHI,-0.013087954614162,1.0,-1,-8.0,False
2014,17,TB,NO,-0.3289243507735624,1.0,0,-3.0,False
2014,17,TEN,IND,-0.1374616464858751,1.0,3,-17.0,False
2014,17,WAS,DAL,-0.2233742440626994,1.0,1,-27.0,False
2014,17,ATL,CAR,0.1357047675260667,1.0,0,-31.0,False
2014,17,GB,DET,0.2655498975817236,1.0,0,10.0,True
2014,17,SF,ARI,0.0360222542822437,1.0,1,3.0,True
2014,17,PIT,CIN,0.0547952855806305,1.0,1,10.0,True
2015,4,PIT,BAL,0.1627166404856971,1.0,0,-3.0,False
2015,4,MIA,NYJ,-0.0253496617910433,0.0,0,-13.0,False
2015,4,ATL,HOU,0.2204915674204078,1.0,0,27.0,True
2015,4,BUF,NYG,0.1345960216739043,1.0,-3,-14.0,False
2015,4,CIN,KC,0.0827943639321218,1.0,1,15.0,True
2015,4,IND,JAX,-0.2209543271942426,1.0,0,3.0,True
2015,4,TB,CAR,-0.1427995395462856,1.0,0,-14.0,False
2015,4,WAS,PHI,-0.1533073616594866,1.0,3,3.0,True
2015,4,DEN,MIN,-0.094908627070254,1.0,0,3.0,True
2015,4,SF,GB,-0.32569284822419,1.0,1,-14.0,False
2015,4,NO,DAL,-0.1543962950839654,1.0,0,6.0,True
2015,4,SEA,DET,0.1881968932578152,1.0,0,3.0,True
2015,5,HOU,IND,0.0236102101517966,1.0,0,-7.0,False
2015,5,ATL,WAS,0.1769516799792727,1.0,0,6.0,True
2015,5,BAL,CLE,-0.1134651362668101,1.0,3,-3.0,False
2015,5,CIN,SEA,0.2828643675478798,1.0,1,3.0,True
2015,5,KC,CHI,0.1021166340562707,1.0,0,-1.0,False
2015,5,PHI,NO,-0.1386087907807963,1.0,0,22.0,True
2015,5,TB,JAX,-0.1735092359212694,1.0,0,7.0,True
2015,5,TEN,BUF,-0.1031518365479072,1.0,7,-1.0,False
2015,5,DET,ARI,-0.3983647121836904,1.0,-1,-25.0,False
2015,5,DAL,NE,-0.3446147979073741,1.0,-7,-24.0,False
2015,5,NYG,SF,0.268855582080246,1.0,0,3.0,True
2015,6,NO,ATL,-0.0326295859694372,1.0,0,10.0,True
2015,6,BUF,CIN,-0.0973601393935019,1.0,0,-13.0,False
2015,6,CLE,DEN,0.2010117352948258,1.0,0,-3.0,False
2015,6,DET,CHI,-0.1288912357171282,1.0,0,3.0,True
2015,6,JAX,HOU,0.0057291241402466,1.0,-3,-11.0,False
2015,6,MIN,KC,-0.1081484861072585,1.0,7,6.0,True
2015,6,NYJ,WAS,-0.0536365851625439,1.0,7,14.0,True
2015,6,PIT,ARI,-0.1945851711596761,1.0,-1,12.0,True
2015,6,TEN,MIA,0.1719390548024401,1.0,-7,-28.0,False
2015,6,SEA,CAR,0.0943536694783921,1.0,-7,-4.0,False
2015,6,SF,BAL,-0.0614680654694242,1.0,0,5.0,True
2015,6,IND,NE,-0.4900583257681764,1.0,3,-7.0,False
2015,6,PHI,NYG,-0.1662065565212006,1.0,0,20.0,True
2015,7,SF,SEA,-0.1808561394237043,1.0,0,-17.0,False
2015,7,JAX,BUF,-0.1051025219930675,0.0,0,3.0,True
2015,7,DET,MIN,-0.0196413025489375,1.0,0,-9.0,False
2015,7,IND,NO,-0.1830268427230367,1.0,-3,-6.0,False
2015,7,KC,PIT,-0.0492403733393253,1.0,0,10.0,True
2015,7,MIA,HOU,-0.0373388728485738,1.0,0,18.0,True
2015,7,NE,NYJ,0.3536091506598456,1.0,0,7.0,True
2015,7,TEN,ATL,-0.2087636918591638,1.0,-3,-3.0,False
2015,7,WAS,TB,0.0883832499286571,1.0,-7,1.0,True
2015,7,NYG,DAL,0.0043512351489083,1.0,-8,7.0,True
2015,7,CAR,PHI,0.009938411393809,1.0,1,11.0,True
2015,7,ARI,BAL,0.2297392115434861,1.0,0,8.0,True
2015,8,NE,MIA,0.2950126810766131,1.0,0,29.0,True
2015,8,KC,DET,0.2043230706888913,0.0,0,35.0,True
2015,8,ATL,TB,0.1127096056182122,1.0,0,-3.0,False
2015,8,CHI,MIN,0.1328703309150541,1.0,7,-3.0,False
2015,8,CLE,ARI,-0.1695504436129929,1.0,1,-14.0,False
2015,8,HOU,TEN,0.0280170565569859,1.0,0,14.0,True
2015,8,NO,NYG,-0.0421743731275671,1.0,0,3.0,True
2015,8,PIT,CIN,-0.2266229392372304,1.0,-7,-6.0,False
2015,8,DAL,SEA,-0.0039252408557356,1.0,-3,-1.0,False
2015,8,DEN,GB,-0.3578836944061349,1.0,0,19.0,True
2015,8,CAR,IND,0.1675263599512612,1.0,0,3.0,True
2015,9,CIN,CLE,0.1294604360646576,1.0,0,21.0,True
2015,9,BUF,MIA,-0.0247110530615013,1.0,4,16.0,True
2015,9,CAR,GB,-0.1772688051385175,1.0,-1,8.0,True
2015,9,NE,WAS,0.3421375011206874,1.0,-4,17.0,True
2015,9,NO,TEN,0.2662921616653825,1.0,0,-6.0,False
2015,9,NYJ,JAX,0.0013691630147825,1.0,-7,5.0,True
2015,9,SF,ATL,-0.2111749982947248,1.0,0,1.0,True
2015,9,TB,NYG,-0.1143860119212158,1.0,0,-14.0,False
2015,9,IND,DEN,-0.0764047196028958,1.0,-1,3.0,True
2015,9,DAL,PHI,0.115941787034781,1.0,-7,-6.0,False
2015,10,NYJ,BUF,-0.0744790449686721,1.0,0,-5.0,False
2015,10,BAL,JAX,-0.035089587812531,1.0,7,-2.0,False
2015,10,GB,DET,0.36428711875172,1.0,-7,-2.0,False
2015,10,PHI,MIA,-0.0352188836747837,1.0,0,-1.0,False
2015,10,PIT,CLE,0.0254607198081366,1.0,-3,21.0,True
2015,10,TB,DAL,-0.117736348820811,1.0,0,4.0,True
2015,10,TEN,CAR,-0.2107674313636061,1.0,0,-17.0,False
2015,10,WAS,NO,-0.1632537173438491,1.0,0,33.0,True
2015,10,DEN,KC,-0.2067710623400677,1.0,-7,-16.0,False
2015,10,NYG,NE,-0.2297223777658454,1.0,0,-1.0,False
2015,10,SEA,ARI,-0.1147830364589917,1.0,0,-7.0,False
2015,10,CIN,HOU,0.1912862102684529,1.0,-4,-4.0,False
2015,11,JAX,TEN,0.0402149856572199,1.0,0,6.0,True
2015,11,ATL,IND,0.0846145487295455,1.0,0,-3.0,False
2015,11,CAR,WAS,0.1190638285368884,1.0,0,28.0,True
2015,11,CHI,DEN,0.1900036094430664,1.0,0,-2.0,False
2015,11,HOU,NYJ,0.0653557970381669,1.0,-4,7.0,True
2015,11,MIA,DAL,-0.0273371387064095,1.0,0,-10.0,False
2015,11,PHI,TB,0.0271593296050113,1.0,0,-28.0,False
2015,11,MIN,GB,-0.2252510419495203,1.0,0,-17.0,False
2015,11,SEA,SF,0.2538368804900333,1.0,-7,16.0,True
2015,11,ARI,CIN,0.0960964116222523,1.0,1,3.0,True
2015,11,NE,BUF,0.2077550847954539,1.0,-3,7.0,True
2015,12,DET,PHI,-0.1099942935763328,1.0,0,31.0,True
2015,12,DAL,CAR,-0.0142409455210893,1.0,0,-19.0,False
2015,12,GB,CHI,0.0605621785569795,1.0,0,-4.0,False
2015,12,ATL,MIN,0.0669035036799958,1.0,0,-10.0,False
2015,12,HOU,NO,-0.0622565929376954,1.0,-7,18.0,True
2015,12,IND,TB,-0.0939958514741267,1.0,0,13.0,True
2015,12,KC,BUF,0.1087044072669295,1.0,1,8.0,True
2015,12,NYJ,MIA,-0.0920478803919613,1.0,0,18.0,True
2015,12,WAS,NYG,-0.1319271305756302,1.0,-7,6.0,True
2015,12,SF,ARI,-0.3262647109509251,1.0,0,-6.0,False
2015,12,SEA,PIT,0.1329993071085767,1.0,-7,9.0,True
2015,12,DEN,NE,-0.2890531887782338,1.0,1,6.0,True
2015,12,CLE,BAL,0.0145352052310107,1.0,7,-6.0,False
2015,13,DET,GB,-0.1864949266626187,1.0,0,-4.0,False
2015,13,BUF,HOU,0.0231035004064169,1.0,0,9.0,True
2015,13,CHI,SF,0.1818513507703013,1.0,3,-6.0,False
2015,13,CLE,CIN,-0.19334683950288,1.0,-1,-34.0,False
2015,13,MIA,BAL,0.0070628237028888,1.0,1,2.0,True
2015,13,MIN,SEA,-0.2618289653146998,1.0,0,-31.0,False
2015,13,NYG,NYJ,0.0573915375844456,1.0,0,-3.0,False
2015,13,TB,ATL,0.0459704403725701,1.0,0,4.0,True
2015,13,TEN,JAX,-0.0467987054574761,1.0,0,3.0,True
2015,13,NE,PHI,0.2864859871338163,1.0,-3,-7.0,False
2015,13,NO,CAR,-0.059806522227281,1.0,-3,-3.0,False
2015,13,PIT,IND,0.1001279103184728,1.0,0,35.0,True
2015,13,WAS,DAL,-0.0519267002224745,1.0,-3,-3.0,False
