season,team,ret_ppa_total,ret_ppa_pass,ret_usage,ret_pass_usage,sp_overall,sp_offense,sp_defense,portal_net_count,portal_net_rating
2021,Navy,42.7,-0.5,0.33,0.417,-8.5,20.0,27.7,-7.0,0.0
2021,NC State,264.5,47.3,0.689,0.331,16.1,33.1,17.7,-7.0,-0.71
2021,Nebraska,120.4,32.0,0.499,0.675,10.3,34.1,21.3,-13.0,-1.62
2021,Nevada,338.7,129.5,0.995,1.0,3.6,30.3,26.9,-6.0,0.0
2021,New Mexico,100.7,5.0,0.834,1.0,-18.6,11.6,29.8,-10.0,0.0
2021,New Mexico State,6.8,1.6,0.923,1.0,-24.2,20.6,43.7,-9.0,0.0
2021,North Carolina,304.1,176.6,0.541,0.995,6.4,37.8,31.7,-20.0,-3.13
2021,Northern Illinois,71.2,0.0,0.522,0.0,-7.1,29.4,36.1,-18.0,0.8
2021,North Texas,231.4,80.6,0.517,0.505,-6.5,23.1,28.5,-8.0,-1.66
2021,Northwestern,32.2,0.0,0.179,0.0,-11.1,19.4,27.3,-1.0,-0.7800000000000002
2021,Notre Dame,153.9,4.1,0.46,0.021,17.4,36.2,18.9,-15.0,-3.98
2021,Ohio,60.5,10.5,0.906,1.0,-11.6,25.1,35.2,-4.0,0.0
2021,Ohio State,170.0,10.2,0.401,0.012,29.3,47.2,20.6,-4.0,-2.58
2021,Oklahoma,351.1,167.1,0.591,0.885,16.8,41.1,25.6,-9.0,-1.5
2021,Oklahoma State,141.1,64.6,0.679,0.978,17.2,30.6,14.3,-3.0,0.0
2021,Ole Miss,415.5,164.0,0.892,0.997,14.8,36.8,22.4,-6.0,-0.7600000000000002
2021,Oregon,130.5,15.6,0.54,0.126,10.2,35.0,26.0,-12.0,-2.54
2021,Oregon State,163.3,39.8,0.765,1.0,8.9,36.9,28.5,-8.0,3.23
2021,Penn State,249.6,89.8,0.808,0.817,14.3,28.0,14.6,-8.0,-2.29
2021,Pittsburgh,240.7,76.6,0.935,0.998,17.6,38.2,21.4,-2.0,0.81
2021,Purdue,180.8,80.4,0.895,1.0,10.3,32.6,21.1,0.0,0.7900000000000001
2021,Rice,40.7,6.5,0.706,0.345,-22.9,18.2,38.3,-2.0,-0.019999999999999907
2021,Rutgers,141.8,20.4,0.848,0.752,-3.0,20.8,23.7,-10.0,3.27
2021,San Diego State,109.0,16.6,0.798,0.484,8.3,23.7,17.1,-7.0,0.81
2021,San José State,194.7,102.5,0.832,1.0,-1.9,22.6,25.2,2.0,0.0
2021,SMU,175.4,-1.1,0.468,0.003,8.9,36.7,27.1,5.0,5.09
2021,South Alabama,197.9,69.9,0.655,0.755,-7.2,21.4,28.0,2.0,1.63
2021,South Carolina,147.9,9.0,0.518,0.239,3.9,26.0,24.2,-4.0,0.8499999999999996
2021,Southern Miss,112.1,0.3,0.469,0.004,-14.2,15.0,28.6,-7.0,0.79
2021,South Florida,136.8,16.5,0.941,0.994,-12.1,23.5,36.2,-7.0,0.8200000000000001
2021,Stanford,97.5,11.7,0.489,0.116,-10.2,22.2,33.6,-2.0,0.0
2021,Syracuse,74.1,-0.7,0.644,0.468,0.3,27.1,25.2,-13.0,0.0
2021,TCU,200.5,33.4,0.863,0.997,-0.6,33.2,33.9,-17.0,-0.71
2021,Temple,59.4,-0.8,0.499,0.218,-19.1,17.5,34.1,-7.0,-2.5199999999999996
2021,Tennessee,76.0,16.7,0.273,0.283,17.5,39.4,23.8,-27.0,-7.130000000000001
2021,Texas,160.0,15.7,0.395,0.069,8.5,34.6,28.4,-8.0,-3.4399999999999995
2021,Texas A&M,241.5,6.2,0.599,0.018,21.1,33.6,14.9,-18.0,-4.069999999999999
2021,Texas State,248.8,51.7,0.905,0.998,-16.0,20.7,36.9,4.0,1.62
2021,Texas Tech,180.0,34.5,0.679,0.443,9.8,34.6,27.1,-5.0,2.49
2021,Toledo,201.2,43.0,0.715,0.414,6.9,29.0,20.7,2.0,0.8
2021,Troy,172.9,79.3,0.678,0.659,-6.5,20.1,26.7,-1.0,2.41
2021,Tulane,266.9,45.1,0.699,0.822,-3.9,27.9,30.4,-6.0,0.0
2021,Tulsa,166.9,15.5,0.471,0.141,5.8,28.7,24.0,-1.0,-0.8899999999999999
2021,UAB,158.7,80.9,0.635,0.996,9.1,32.1,21.7,-2.0,0.8
2021,UCF,320.3,182.3,0.589,0.993,4.8,29.6,23.4,-7.0,-3.4300000000000006
2021,UCLA,220.0,80.7,0.757,1.0,9.4,37.7,27.8,0.0,5.99
2021,UL Monroe,144.3,32.4,0.778,0.998,-20.3,15.6,35.1,-6.0,-1.58
2021,UNLV,73.1,5.4,0.584,0.219,-13.8,19.9,33.0,-8.0,-0.84
2021,USC,182.1,91.8,0.653,0.902,-0.6,32.3,33.4,0.0,3.3099999999999996
2021,Utah,40.5,-1.4,0.268,0.043,15.2,37.2,20.7,-9.0,-0.020000000000000018
2021,Utah State,41.7,0.7,0.51,0.401,0.1,28.4,27.9,-4.0,-0.8599999999999997
2021,UTEP,198.6,74.0,0.873,0.992,-4.2,23.9,28.3,-7.0,0.0
2021,UTSA,280.1,57.6,0.958,1.0,6.5,33.0,27.8,3.0,0.81
2021,Vanderbilt,149.9,43.6,0.934,1.0,-19.4,17.4,35.6,-16.0,-0.8399999999999999
