season,week,iterations,regression,rating_diff,actual_margin,actual_home_win
2014,4,3,0.3,0.21539106145992,-31.0,False
2014,4,3,0.3,-0.0837574672607524,28.0,True
2014,4,3,0.3,-0.0944281437672075,-21.0,False
2014,4,3,0.3,-0.0253244655415847,6.0,True
2014,4,3,0.3,-0.0268618179454276,24.0,True
2014,4,3,0.3,0.1640318043711734,-7.0,False
2014,4,3,0.3,0.3967201011106144,-3.0,False
2014,4,3,0.3,-0.416300523480854,13.0,True
2014,4,3,0.3,0.0663186313386316,5.0,True
2014,4,3,0.3,-0.2104718865100497,21.0,True
2014,4,3,0.3,-0.1789043880055977,27.0,True
2014,4,3,0.5,0.2249003142607917,-31.0,False
2014,4,3,0.5,-0.0054085266510899,28.0,True
2014,4,3,0.5,-0.0996749881777281,-21.0,False
2014,4,3,0.5,-0.0444962270315247,6.0,True
2014,4,3,0.5,0.0167339871795508,24.0,True
2014,4,3,0.5,0.1766460719182854,-7.0,False
2014,4,3,0.5,0.2709695568646417,-3.0,False
2014,4,3,0.5,-0.3411324906898786,13.0,True
2014,4,3,0.5,0.0789004994125223,5.0,True
2014,4,3,0.5,-0.1400943419649861,21.0,True
2014,4,3,0.5,-0.0860306953000626,27.0,True
2014,4,3,0.7,0.2291751159786148,-31.0,False
2014,4,3,0.7,0.0298125567422443,28.0,True
2014,4,3,0.7,-0.1020336613530997,-21.0,False
2014,4,3,0.7,-0.0531147253159932,6.0,True
2014,4,3,0.7,0.0363321014100459,24.0,True
2014,4,3,0.7,0.1823167059532255,-7.0,False
2014,4,3,0.7,0.2144394956898465,-3.0,False
2014,4,3,0.7,-0.3073413566829265,13.0,True
2014,4,3,0.7,0.0845565685466566,5.0,True
2014,4,3,0.7,-0.1084567301970219,21.0,True
2014,4,3,0.7,-0.0442801361939046,27.0,True
2014,5,3,0.3,0.2529129725231442,32.0,True
2014,5,3,0.3,0.0695520847938175,7.0,True
2014,5,3,0.3,0.0794501541536072,3.0,True
2014,5,3,0.3,0.0108575895643441,-3.0,False
2014,5,3,0.3,-0.138541670766587,7.0,True
2014,5,3,0.3,-0.2698917122141654,-8.0,False
2014,5,3,0.3,0.2627529624236497,6.0,True
2014,5,3,0.3,-0.044489504819522,10.0,True
2014,5,3,0.3,-0.1876499606617318,-1.0,False
2014,5,3,0.3,-0.1096934409171882,21.0,True
2014,5,3,0.3,-0.0075641380589489,5.0,True
2014,5,3,0.3,-0.2249340428195189,26.0,True
2014,5,3,0.3,-0.2037976098459247,-10.0,False
2014,5,3,0.5,0.2554006807492543,32.0,True
2014,5,3,0.5,0.0723879168434337,7.0,True
2014,5,3,0.5,0.1018607286085786,3.0,True
2014,5,3,0.5,-0.0368538691340554,-3.0,False
2014,5,3,0.5,-0.1854377823630997,7.0,True
2014,5,3,0.5,-0.1797528576540239,-8.0,False
2014,5,3,0.5,0.2037543844227349,6.0,True
2014,5,3,0.5,-0.0373540333468018,10.0,True
2014,5,3,0.5,-0.1843073213313074,-1.0,False
2014,5,3,0.5,-0.0879099282117026,21.0,True
2014,5,3,0.5,-0.0821944197204095,5.0,True
2014,5,3,0.5,-0.1784448472227885,26.0,True
2014,5,3,0.5,-0.161910132136624,-10.0,False
2014,5,3,0.7,0.2565190083004414,32.0,True
2014,5,3,0.7,0.0736627404253712,7.0,True
2014,5,3,0.7,0.1119352070332906,3.0,True
2014,5,3,0.7,-0.0583021395581066,-3.0,False
2014,5,3,0.7,-0.2065195206037338,7.0,True
2014,5,3,0.7,-0.1392317212003824,-8.0,False
2014,5,3,0.7,0.1772320878902135,6.0,True
2014,5,3,0.7,-0.0341463443361295,10.0,True
2014,5,3,0.7,-0.1828046669534103,-1.0,False
2014,5,3,0.7,-0.0781173399312549,21.0,True
2014,5,3,0.7,-0.1157438123939101,5.0,True
2014,5,3,0.7,-0.1575460345233409,26.0,True
2014,5,3,0.7,-0.1430799816067549,-10.0,False
2014,6,3,0.3,0.0106287506813493,-5.0,False
2014,6,3,0.3,-0.0653910315022518,-15.0,False
2014,6,3,0.3,0.0836533834189848,0.0,False
2014,6,3,0.3,-0.0374828754280973,21.0,True
2014,6,3,0.3,-0.1072268216001102,-3.0,False
2014,6,3,0.3,-0.1729572906606925,-14.0,False
2014,6,3,0.3,-0.1441825871490385,-14.0,False
2014,6,3,0.3,-0.2624344297407578,-31.0,False
2014,6,3,0.3,0.1649627409041078,2.0,True
2014,6,3,0.3,0.0480274281503713,10.0,True
2014,6,3,0.3,-0.0778991530052834,-14.0,False
2014,6,3,0.3,0.2787963378510047,-7.0,False
2014,6,3,0.3,-0.2378217175512894,27.0,True
2014,6,3,0.5,0.0736494108897593,-5.0,False
2014,6,3,0.5,-0.0587997188168586,-15.0,False
2014,6,3,0.5,0.0562785724142582,0.0,False
2014,6,3,0.5,0.0384062208375384,21.0,True
2014,6,3,0.5,-0.1281829235824808,-3.0,False
2014,6,3,0.5,-0.1119652367512367,-14.0,False
2014,6,3,0.5,-0.1219043505796336,-14.0,False
2014,6,3,0.5,-0.2726936764748714,-31.0,False
2014,6,3,0.5,0.1068202318210862,2.0,True
2014,6,3,0.5,0.0145864195918901,10.0,True
2014,6,3,0.5,-0.0620230274269024,-14.0,False
2014,6,3,0.5,0.2220129293182905,-7.0,False
2014,6,3,0.5,-0.1987264544268624,27.0,True
2014,6,3,0.7,0.1019797994238153,-5.0,False
2014,6,3,0.7,-0.0558366516463607,-15.0,False
2014,6,3,0.7,0.0439724647148855,0.0,False
2014,6,3,0.7,0.072521502645026,21.0,True
2014,6,3,0.7,-0.1376035565837299,-3.0,False
2014,6,3,0.7,-0.0845467904983621,-14.0,False
2014,6,3,0.7,-0.1118893634979744,-14.0,False
2014,6,3,0.7,-0.2773056314287391,-31.0,False
2014,6,3,0.7,0.0806827736094527,2.0,True
2014,6,3,0.7,-0.0004466943472436,10.0,True
2014,6,3,0.7,-0.054886053543043,-14.0,False
2014,6,3,0.7,0.1964864429136759,-7.0,False
2014,6,3,0.7,-0.1811515196278083,27.0,True
2014,7,3,0.3,0.1759675325640345,2.0,True
2014,7,3,0.3,0.0483234869532317,22.0,True
2014,7,3,0.3,0.2371495011259881,1.0,True
2014,7,3,0.3,0.000806240736939,-13.0,False
2014,7,3,0.3,-0.0025178346578249,1.0,True
2014,7,3,0.3,0.1056325986494477,21.0,True
2014,7,3,0.3,-0.0336280199364932,27.0,True
2014,7,3,0.3,-0.3816056653940097,18.0,True
2014,7,3,0.3,0.0505656200858883,2.0,True
2014,7,3,0.3,0.0900277559486793,10.0,True
2014,7,3,0.3,0.058349654391805,25.0,True
2014,7,3,0.3,-0.0106300019375536,7.0,True
2014,7,3,0.5,0.1261340375913553,2.0,True
