season,week,home_team,away_team,rating_diff,home_field,rest_diff,actual_margin,actual_home_win,elo_diff,cpoe_diff,separation_diff,yac_oe_diff,ryoe_diff,spread_line,model_margin
2022,4,CIN,MIA,-0.2817296683655471,1.0,0,12.0,True,-5.303006978785788,2.883468609722926,-0.31806500241433433,-0.31090672772461525,-0.1386675284621801,4.0,-0.9903135562218548
2022,4,NO,MIN,-0.2146140115158009,0.0,0,-3.0,False,48.43150121874896,-0.055557166182839124,-0.37217510370523854,-0.33403324391872413,-0.06801371806537612,-4.0,-0.601320524543496
2022,4,ATL,CLE,-0.1657247075164432,1.0,-3,3.0,True,-17.360994586592142,-2.2293063627663066,0.24364186385530928,-0.09732423773243337,0.014909897374172365,-1.0,-2.18080720861842
2022,4,BAL,BUF,-0.1748319082724739,1.0,0,-3.0,False,-42.41831221481016,-1.810131745740787,0.06222347529616101,-0.11068830647229055,0.24861303446845842,-3.0,-3.219679093610072
2022,4,DAL,WAS,0.1434685887078762,1.0,-1,15.0,True,219.6202271729362,-0.07892048504520144,-0.29712383984402235,-0.2045895340542072,0.4254769985564793,3.0,5.755938243600729
2022,4,DET,SEA,-0.0027936100117268,1.0,0,-3.0,False,-35.50797249936272,-8.01722332975038,-0.15464787669425073,0.6143689515187762,-0.3395164711634878,3.0,-6.548195521285618
2022,4,HOU,LAC,-0.0920408370255748,1.0,0,-10.0,False,-17.511022653955933,-5.597584878947448,-0.2935919044878421,0.16669356077216557,-0.2744971093478977,-5.5,-5.234138561921236
2022,4,IND,TEN,-0.1407674639538386,1.0,0,-7.0,False,37.25676521266405,-0.2586869952032067,-0.05264486392797307,-0.4886072219162384,0.371283403215323,4.5,-0.051573671009785826
2022,4,NYG,CHI,-0.1323515391117196,1.0,-1,8.0,True,-14.360463789056212,8.772242601456055,-0.6666480557502403,0.06317575219062507,0.007133539272804135,3.0,0.5315564102437165
2022,4,PHI,JAX,0.2236112937284137,1.0,0,8.0,True,216.13237318491815,2.811259551652953,-0.08481311563344729,0.7769286972068637,-0.5349250627276683,6.5,7.386275670909962
2022,4,PIT,NYJ,0.158681420357837,1.0,3,-4.0,False,244.00611892775964,5.636660027987617,-0.4768658484241719,-0.0812922144207644,0.014910461739649494,3.0,8.7115905217498
2022,4,CAR,ARI,-0.1262472885201119,1.0,0,-10.0,False,-22.242262282484717,-0.5943392737419257,-0.5898797930016895,0.052959012419093066,0.5366592591637662,1.0,-3.6534315108099213
2022,4,GB,NE,0.1247391839721922,1.0,0,3.0,True,165.706105901437,0.5746589402278052,0.18045487959267703,-0.003283277507136917,-0.3341713913318009,10.0,5.301144246006947
2022,4,LV,DEN,-0.1191145055046411,1.0,0,9.0,True,59.49856600866701,4.108037479607084,-0.25232968763412966,0.1373326785775859,0.5687802578543613,2.5,2.3299074002247426
2022,4,TB,KC,-0.0059477427601519,1.0,0,-10.0,False,59.35798363421236,-1.035505082832009,-0.016085666007912724,-0.8577813669033196,-0.6109136151439882,1.0,0.09268859427685516
2022,5,DEN,IND,0.1265566013316943,1.0,0,-3.0,False,6.116799123761666,-5.637036420381543,0.5155935311781858,0.012242717761715538,-0.4912081685840043,3.5,-2.238987726078258
2022,5,GB,NYG,0.0837509752904178,0.0,0,-5.0,False,279.5342306359628,-2.667594146029294,0.34297684308314214,0.36400401038273444,-0.3153603466957957,8.5,8.265109986522758
2022,5,BUF,PIT,0.2466320975616738,1.0,0,35.0,True,252.49971232548637,-2.0011434301917754,0.47278114362926615,0.10133399505126783,0.6683127929263121,14.0,8.317875260947583
2022,5,CLE,LAC,-0.0122382092231172,1.0,0,-2.0,False,85.97358925892809,-0.8678838325353284,-0.6114947174775596,0.1998831771432818,0.48124847261686865,-1.0,-0.06300156365470055
2022,5,JAX,HOU,0.2240938215122586,1.0,0,-7.0,False,112.81319417505779,2.2869712161019127,0.14019647722195483,-0.15299687370009063,0.6275848264169407,7.0,4.461786041300384
2022,5,MIN,CHI,0.0452442488289046,1.0,0,7.0,True,167.1107188069377,8.61760825754447,-0.45806569012775755,0.6258523302555135,-0.7163967887593341,10.0,7.221019995075499
2022,5,NE,DET,0.0026044094415252,1.0,0,29.0,True,193.0555382504624,0.5187189550308282,0.17667272676578882,-0.2265988695001811,0.27381284787737864,3.0,6.384507561768421
2022,5,NO,SEA,-0.2033641549906409,1.0,0,7.0,True,57.10769582039029,-3.4791508424957835,-0.37845927391650536,0.478440457078513,-0.6485814005242676,5.5,-1.9974363784493399
2022,5,NYJ,MIA,-0.1949775927342604,1.0,-3,23.0,True,-145.04266644131644,-4.383101758652899,-0.05546830791039925,-0.7132666133909225,-0.5434531425433073,-3.0,-8.72590192060433
2022,5,TB,ATL,0.0196085964211146,1.0,0,6.0,True,228.4703316221819,0.5679808742631949,0.13915813762009277,-0.21066062123888102,-1.2011144782867889,10.5,7.0324901141944665
